compiler,run,status,exit_code,compilation_time_seconds,peak_rss_kb,user_cpu_s,sys_cpu_s,job_id,array_task_id,node,started_at,finished_at
new,27,SUCCESS,0,1545.268902,3695592.0,4295.91,180.14,1642218,27,cn99,2026-05-25T02:05:48+00:00,2026-05-25T02:31:33+00:00
new,28,SUCCESS,0,1552.788394,3695544.0,4274.63,185.18,1642218,28,cn99,2026-05-25T02:06:26+00:00,2026-05-25T02:32:19+00:00
new,29,SUCCESS,0,1560.139334,3695560.0,4278.97,197.13,1642218,29,cn99,2026-05-25T02:20:27+00:00,2026-05-25T02:46:27+00:00
new,3,SUCCESS,0,1547.374845,3695560.0,4304.42,178.65,1642218,3,cn99,2026-05-24T23:31:09+00:00,2026-05-24T23:56:56+00:00
new,30,SUCCESS,0,1540.71042,3695648.0,4282.73,176.33,1642218,30,cn99,2026-05-25T02:31:08+00:00,2026-05-25T02:56:49+00:00
new,31,SUCCESS,0,1544.53292,3695588.0,4297.53,177.62,1642218,31,cn99,2026-05-25T02:31:34+00:00,2026-05-25T02:57:19+00:00
new,32,SUCCESS,0,1547.246696,3695560.0,4274.1,182.13,1642218,32,cn99,2026-05-25T02:32:20+00:00,2026-05-25T02:58:07+00:00
new,4,SUCCESS,0,1542.592075,3695492.0,4295.08,178.17,1642218,4,cn99,2026-05-24T23:31:09+00:00,2026-05-24T23:56:51+00:00
new,5,SUCCESS,0,1557.368234,3695616.0,4272.7,194.21,1642218,5,cn99,2026-05-24T23:44:02+00:00,2026-05-25T00:09:59+00:00
new,6,SUCCESS,0,1542.415675,3695616.0,4289.74,178.41,1642218,6,cn99,2026-05-24T23:56:52+00:00,2026-05-25T00:22:35+00:00
new,7,SUCCESS,0,1545.726305,3695588.0,4303.06,176.52,1642218,7,cn99,2026-05-24T23:56:57+00:00,2026-05-25T00:22:42+00:00
new,8,SUCCESS,0,1553.890054,3695632.0,4265.85,182.76,1642218,8,cn99,2026-05-24T23:57:00+00:00,2026-05-25T00:22:54+00:00
new,9,SUCCESS,0,1564.175546,3695600.0,4278.42,199.57,1642218,9,cn99,2026-05-25T00:10:00+00:00,2026-05-25T00:36:04+00:00
orig,1,SUCCESS,0,1602.564135,3859892.0,4501.42,200.88,1642219,1,cn99,2026-05-25T02:46:28+00:00,2026-05-25T03:13:11+00:00
orig,10,SUCCESS,0,1583.816958,3859980.0,4500.55,180.87,1642219,10,cn99,2026-05-25T03:49:46+00:00,2026-05-25T04:16:09+00:00
orig,11,SUCCESS,0,1588.047163,3859828.0,4515.03,181.44,1642219,11,cn99,2026-05-25T03:50:24+00:00,2026-05-25T04:16:52+00:00
orig,12,SUCCESS,0,1592.937939,3859824.0,4505.17,192.13,1642219,12,cn99,2026-05-25T03:51:18+00:00,2026-05-25T04:17:51+00:00
orig,13,SUCCESS,0,1607.554046,3859740.0,4509.46,201.75,1642219,13,cn99,2026-05-25T04:06:49+00:00,2026-05-25T04:33:37+00:00
orig,14,SUCCESS,0,1584.621345,3859836.0,4501.49,183.87,1642219,14,cn99,2026-05-25T04:16:11+00:00,2026-05-25T04:42:35+00:00
orig,15,SUCCESS,0,1589.819726,3859692.0,4517.51,184.33,1642219,15,cn99,2026-05-25T04:16:53+00:00,2026-05-25T04:43:23+00:00
orig,16,SUCCESS,0,1570.547134,3859936.0,4470.08,187.42,1642219,16,cn99,2026-05-25T04:17:52+00:00,2026-05-25T04:44:03+00:00
orig,17,SUCCESS,0,1563.051431,3859904.0,4424.34,181.68,1642219,17,cn99,2026-05-25T04:49:43+00:00,2026-05-25T05:15:46+00:00
orig,18,SUCCESS,0,1573.798822,3859892.0,4445.21,188.42,1642219,18,cn99,2026-05-25T04:50:27+00:00,2026-05-25T05:16:41+00:00
orig,19,SUCCESS,0,1603.71322,3859920.0,4515.69,202.0,1642219,19,cn99,2026-05-25T05:09:12+00:00,2026-05-25T05:35:55+00:00
orig,2,SUCCESS,0,1585.815519,3859796.0,4502.04,184.58,1642219,2,cn99,2026-05-25T02:56:50+00:00,2026-05-25T03:23:16+00:00
orig,20,SUCCESS,0,1566.442649,3859836.0,4431.48,182.52,1642219,20,cn99,2026-05-25T05:15:47+00:00,2026-05-25T05:41:54+00:00
orig,21,SUCCESS,0,1590.556335,3859808.0,4506.78,187.75,1642219,21,cn99,2026-05-25T05:16:42+00:00,2026-05-25T05:43:12+00:00
orig,22,SUCCESS,0,1613.510876,3859924.0,4517.06,207.48,1642219,22,cn99,2026-05-25T05:35:56+00:00,2026-05-25T06:02:50+00:00
orig,23,SUCCESS,0,1594.034,3859664.0,4520.53,180.65,1642219,23,cn99,2026-05-25T05:41:55+00:00,2026-05-25T06:08:29+00:00
orig,24,SUCCESS,0,1583.841671,3859980.0,4503.67,179.63,1642219,24,cn99,2026-05-25T05:42:39+00:00,2026-05-25T06:09:02+00:00
orig,25,SUCCESS,0,1593.176,3859956.0,4506.91,186.25,1642219,25,cn99,2026-05-25T05:43:14+00:00,2026-05-25T06:09:47+00:00
orig,26,SUCCESS,0,1609.106825,3859920.0,4512.41,206.49,1642219,26,cn99,2026-05-25T06:02:51+00:00,2026-05-25T06:29:40+00:00
orig,27,SUCCESS,0,1595.686261,3859892.0,4518.1,180.08,1642219,27,cn99,2026-05-25T06:08:30+00:00,2026-05-25T06:35:06+00:00
orig,28,SUCCESS,0,1584.852814,3859684.0,4501.46,182.49,1642219,28,cn99,2026-05-25T06:09:03+00:00,2026-05-25T06:35:28+00:00
orig,29,SUCCESS,0,1598.448903,3859872.0,4509.03,191.95,1642219,29,cn99,2026-05-25T06:09:48+00:00,2026-05-25T06:36:26+00:00
orig,3,SUCCESS,0,1593.567553,3859748.0,4516.26,184.78,1642219,3,cn99,2026-05-25T02:57:20+00:00,2026-05-25T03:23:53+00:00
orig,30,SUCCESS,0,1540.200841,3859876.0,4369.43,195.03,1642219,30,cn99,2026-05-25T06:29:42+00:00,2026-05-25T06:55:22+00:00
orig,31,SUCCESS,0,1588.873862,3859808.0,4520.28,180.75,1642219,31,cn99,2026-05-25T06:35:07+00:00,2026-05-25T07:01:36+00:00
orig,32,SUCCESS,0,1581.592502,3859648.0,4500.72,184.79,1642219,32,cn99,2026-05-25T06:35:29+00:00,2026-05-25T07:01:51+00:00
orig,4,SUCCESS,0,1594.115114,3859592.0,4506.78,188.47,1642219,4,cn99,2026-05-25T02:58:09+00:00,2026-05-25T03:24:43+00:00
orig,5,SUCCESS,0,1607.168381,3859736.0,4507.08,200.91,1642219,5,cn99,2026-05-25T03:13:12+00:00,2026-05-25T03:39:59+00:00
orig,6,SUCCESS,0,1586.933416,3859692.0,4499.04,184.05,1642219,6,cn99,2026-05-25T03:23:17+00:00,2026-05-25T03:49:44+00:00
orig,7,SUCCESS,0,1588.992575,3859944.0,4515.17,179.93,1642219,7,cn99,2026-05-25T03:23:54+00:00,2026-05-25T03:50:23+00:00
orig,8,SUCCESS,0,1592.838359,3859576.0,4502.01,191.66,1642219,8,cn99,2026-05-25T03:24:44+00:00,2026-05-25T03:51:17+00:00
orig,9,SUCCESS,0,1607.178672,3859656.0,4507.58,199.87,1642219,9,cn99,2026-05-25T03:40:01+00:00,2026-05-25T04:06:48+00:00
